class,precision,recall,f1-score,support
BENIGN,0.9991244308800721,0.998475,0.9987996098732088,40000.0
Bot,0.9529702970297029,0.9846547314578005,0.9685534591194969,391.0
DDoS,0.999960943602562,0.9999218902558095,0.9999414165478725,25605.0
DoS GoldenEye,0.997090203685742,0.9985429820301117,0.9978160640621209,2059.0
DoS Hulk,0.9993701539864909,0.999760999456817,0.9995655385150106,46025.0
DoS Slowhttptest,0.9954379562043796,0.9918181818181818,0.9936247723132969,1100.0
DoS slowloris,0.9948275862068966,0.9956859361518551,0.9952565761103924,1159.0
FTP-Patator,1.0,1.0,1.0,1587.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.14285714285714285,0.25,7.0
PortScan,0.9994647860718446,0.999527722678757,0.9994962533845476,31761.0
SSH-Patator,1.0,1.0,1.0,1180.0
Web Attack � Brute Force,0.7468354430379747,0.7814569536423841,0.7637540453074434,302.0
Web Attack � Sql Injection,1.0,0.5,0.6666666666666666,4.0
Web Attack � XSS,0.4661016949152542,0.4230769230769231,0.4435483870967742,130.0
accuracy,0.9982750872369673,0.9982750872369673,0.9982750872369673,0.9982750872369673
macro avg,0.9434122330413947,0.8543852308950523,0.8718015192664553,151312.0
weighted avg,0.9982601126659169,0.9982750872369673,0.9982481082656028,151312.0
